Wijkcode,Wijknaam,Gemnr,Gemnaam,Wijk,Jaar,% 75+,Gem GGZ Kosten,% Kostenmakers GGZ,% mannen,% vrouwen,% Nederlanders,% Surinamers,% Turken,% Marokkanen,% Ned Ant en Arubanen,% Ned Indie en Indonesiers,% Polen,% Overige herkomst,Gem Leeftijd,% Jong,% Volwassen,% Oudere (65+),% Wanbetalers ZVW,% Gestorven binnen kalenderjaar
WK051802,Belgisch Park,518,'s-Gravenhage,Wijk  02 Belgisch Park,2010,0.09,294.3688,0.04,0.49,0.51,0.65,0.02,0.01,0.01,0.01,0.05,0.01,0.25,41.90,0.20,0.63,0.17,0.01,0.01
WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2010,0.26,340.6439,0.03,0.43,0.57,0.66,                 ,                 ,                 ,0.01,0.07,                 ,0.26,54.75,0.17,0.44,0.39,,0.04
WK051804,Benoordenhout,518,'s-Gravenhage,Wijk  04 Benoordenhout,2010,0.17,200.2484,0.04,0.46,0.54,0.62,0.01,0.00,0.00,0.01,0.08,0.00,0.29,46.28,0.22,0.53,0.26,0.00,0.02
WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2010,0.07,391.965,0.05,0.48,0.53,0.60,0.01,0.00,0.01,0.01,0.07,0.01,0.30,43.30,0.19,0.65,0.17,0.01,0.01
WK051806,Van Stolkpark en Scheveningse Bosjes,518,'s-Gravenhage,Wijk  06 Van Stolkpark en Scheveningse Bosjes,2010,0.20,159.8266,0.05,0.45,0.55,0.62,0.01,                 ,                 ,0.01,0.07,                 ,0.28,50.56,0.17,0.51,0.32,,0.02
WK051807,Scheveningen,518,'s-Gravenhage,Wijk  07 Scheveningen,2010,0.10,398.0271,0.06,0.49,0.51,0.73,0.02,0.00,0.01,0.01,0.04,0.01,0.19,43.23,0.17,0.65,0.18,0.02,0.01
WK051808,Duindorp,518,'s-Gravenhage,Wijk  08 Duindorp,2010,0.06,389.8088,0.07,0.51,0.49,0.87,0.01,0.00,0.01,0.01,0.02,0.01,0.09,39.71,0.22,0.65,0.13,0.03,0.01
WK051809,Geuzen- en Statenkwartier,518,'s-Gravenhage,Wijk  09 Geuzen- en Statenkwartier,2010,0.08,310.4203,0.05,0.47,0.53,0.66,0.01,0.01,0.00,0.01,0.05,0.01,0.25,41.56,0.22,0.61,0.17,0.01,0.01
WK051811,Duinoord,518,'s-Gravenhage,Wijk  11 Duinoord,2010,0.06,248.1548,0.04,0.48,0.52,0.63,0.03,0.00,0.01,0.01,0.07,0.01,0.24,39.13,0.19,0.69,0.12,0.01,0.01
WK051812,Bomen- en Bloemenbuurt,518,'s-Gravenhage,Wijk  12 Bomen- en Bloemenbuurt,2010,0.10,221.7264,0.05,0.46,0.54,0.72,0.03,0.01,0.00,0.01,0.07,0.01,0.15,43.17,0.19,0.62,0.19,0.01,0.01
WK051813,Vogelwijk,518,'s-Gravenhage,Wijk  13 Vogelwijk,2010,0.08,329.7408,0.03,0.49,0.51,0.75,0.01,                 ,                 ,0.01,0.07,0.00,0.15,41.82,0.29,0.54,0.17,,0.01
WK051814,Bohemen en Meer en Bos,518,'s-Gravenhage,Wijk  14 Bohemen en Meer en Bos,2010,0.20,194.1035,0.05,0.43,0.57,0.77,0.01,                 ,                 ,0.01,0.08,0.00,0.13,53.17,0.13,0.53,0.34,0.01,0.02
WK051815,Kijkduin en Ockenburgh,518,'s-Gravenhage,Wijk  15 Kijkduin en Ockenburgh,2010,0.11,3217.897,0.05,0.50,0.50,0.74,0.02,                 ,0.01,0.01,0.05,                 ,0.16,47.10,0.21,0.54,0.24,0.01,0.01
WK051816,Kraayenstein en de Uithof,518,'s-Gravenhage,Wijk  16 Kraayenstein en de Uithof,2010,0.08,2296.671,0.06,0.53,0.48,0.77,0.04,0.01,0.01,0.01,0.05,0.01,0.11,44.32,0.17,0.65,0.18,0.02,0.01
WK051817,Loosduinen,518,'s-Gravenhage,Wijk  17 Loosduinen,2010,0.11,281.145,0.06,0.48,0.52,0.74,0.05,0.03,0.02,0.01,0.04,0.01,0.10,44.67,0.20,0.60,0.20,0.02,0.01
WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2010,0.17,538.701,0.07,0.45,0.55,0.71,0.04,0.02,0.02,0.01,0.05,0.01,0.14,49.86,0.15,0.55,0.30,0.02,0.02
WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2010,0.07,223.6847,0.05,0.47,0.53,0.77,0.02,0.01,0.00,0.01,0.06,0.00,0.12,40.45,0.22,0.64,0.14,0.01,0.01
WK051820,Valkenboskwartier,518,'s-Gravenhage,Wijk  20 Valkenboskwartier,2010,0.03,344.5042,0.07,0.50,0.50,0.51,0.14,0.03,0.03,0.02,0.04,0.04,0.20,35.79,0.19,0.73,0.08,0.03,0.01
WK051821,Regentessekwartier,518,'s-Gravenhage,Wijk  21 Regentessekwartier,2010,0.02,505.4748,0.08,0.53,0.47,0.50,0.13,0.04,0.04,0.03,0.04,0.03,0.20,35.62,0.16,0.77,0.07,0.05,0.00
WK051822,Zeeheldenkwartier,518,'s-Gravenhage,Wijk  22 Zeeheldenkwartier,2010,0.03,474.0836,0.07,0.51,0.49,0.53,0.06,0.02,0.04,0.03,0.05,0.01,0.28,37.01,0.15,0.77,0.08,0.04,0.00
WK051823,Willemspark,518,'s-Gravenhage,Wijk  23 Willemspark,2010,0.05,327.3836,0.05,0.51,0.49,0.54,0.01,0.01,                 ,                 ,0.07,0.01,0.36,42.75,0.13,0.73,0.14,0.01,0.01
WK051825,Mariahoeve en Marlot,518,'s-Gravenhage,Wijk  25 Mariahoeve en Marlot,2010,0.15,327.9164,0.07,0.46,0.54,0.55,0.05,0.02,0.03,0.03,0.06,0.01,0.25,45.66,0.16,0.59,0.25,0.03,0.01
WK051826,Bezuidenhout,518,'s-Gravenhage,Wijk  26 Bezuidenhout,2010,0.05,282.2965,0.06,0.49,0.51,0.59,0.05,0.01,0.02,0.02,0.05,0.01,0.26,38.70,0.17,0.72,0.11,0.02,0.01
WK051827,Stationsbuurt,518,'s-Gravenhage,Wijk  27 Stationsbuurt,2010,0.03,491.2841,0.07,0.53,0.48,0.38,0.11,0.05,0.08,0.08,0.03,0.01,0.27,34.90,0.17,0.75,0.08,0.05,0.01
WK051828,Centrum,518,'s-Gravenhage,Wijk  28 Centrum,2010,0.04,380.6154,0.07,0.52,0.48,0.49,0.07,0.03,0.05,0.03,0.05,0.01,0.28,38.33,0.14,0.76,0.10,0.03,0.01
WK051829,Schildersbuurt,518,'s-Gravenhage,Wijk  29 Schildersbuurt,2010,0.02,326.8281,0.08,0.51,0.49,0.09,0.19,0.27,0.22,0.03,0.01,0.01,0.18,33.18,0.32,0.61,0.07,0.05,0.00
WK051830,Transvaalkwartier,518,'s-Gravenhage,Wijk  30 Transvaalkwartier,2010,0.03,261.7242,0.07,0.51,0.49,0.09,0.23,0.27,0.13,0.02,0.01,0.03,0.23,33.32,0.28,0.64,0.08,0.05,0.00
WK051831,Rustenburg en Oostbroek,518,'s-Gravenhage,Wijk  31 Rustenburg en Oostbroek,2010,0.03,199.1275,0.06,0.52,0.48,0.40,0.13,0.16,0.03,0.02,0.02,0.05,0.19,33.70,0.24,0.70,0.07,0.04,0.01
WK051832,Leyenburg,518,'s-Gravenhage,Wijk  32 Leyenburg,2010,0.11,256.6538,0.06,0.48,0.52,0.69,0.06,0.03,0.01,0.01,0.05,0.02,0.12,42.07,0.19,0.63,0.19,0.02,0.01
WK051833,Bouwlust en Vrederust,518,'s-Gravenhage,Wijk  33 Bouwlust en Vrederust,2010,0.10,388.2917,0.07,0.49,0.51,0.38,0.09,0.16,0.13,0.04,0.03,0.01,0.17,39.09,0.24,0.59,0.17,0.05,0.01
WK051834,Morgenstond,518,'s-Gravenhage,Wijk  34 Morgenstond,2010,0.09,522.1857,0.08,0.49,0.51,0.43,0.12,0.11,0.08,0.04,0.03,0.01,0.19,39.93,0.20,0.64,0.16,0.05,0.01
WK051836,Moerwijk,518,'s-Gravenhage,Wijk  36 Moerwijk,2010,0.08,524.6983,0.08,0.51,0.49,0.34,0.11,0.11,0.12,0.05,0.02,0.02,0.24,37.25,0.23,0.64,0.13,0.06,0.01
WK051837,Groente- en Fruitmarkt,518,'s-Gravenhage,Wijk  37 Groente- en Fruitmarkt,2010,0.01,255.1596,0.06,0.52,0.48,0.16,0.20,0.33,0.08,0.02,0.01,0.02,0.19,31.75,0.31,0.64,0.05,0.04,0.00
WK051838,Laakkwartier en Spoorwijk,518,'s-Gravenhage,Wijk  38 Laakkwartier en Spoorwijk,2010,0.03,309.425,0.07,0.51,0.49,0.30,0.17,0.08,0.09,0.05,0.02,0.04,0.24,34.05,0.24,0.69,0.08,0.05,0.01
WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2010,0.04,214.0705,0.05,0.49,0.51,0.63,0.11,0.06,0.03,0.02,0.04,0.00,0.11,34.80,0.32,0.61,0.08,0.02,0.01
WK051842,Ypenburg,518,'s-Gravenhage,Wijk  42 Ypenburg,2010,0.01,200.3765,0.05,0.50,0.50,0.64,0.10,0.03,0.02,0.02,0.03,0.01,0.15,31.94,0.34,0.62,0.04,0.02,0.00
WK051844,Leidschenveen,518,'s-Gravenhage,Wijk  44 Leidschenveen,2010,0.02,185.2738,0.05,0.50,0.50,0.65,0.12,0.03,0.03,0.02,0.03,0.00,0.12,32.77,0.33,0.62,0.06,0.01,0.00
WK051802,Belgisch Park,518,'s-Gravenhage,Wijk  02 Belgisch Park,2011,0.08,261.6936,0.05,0.50,0.51,0.65,0.02,0.00,0.01,0.01,0.05,0.01,0.26,41.67,0.20,0.62,0.18,0.01,0.01
WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2011,0.24,270.6922,0.05,0.43,0.57,0.67,0.01,                 ,                 ,0.01,0.07,                 ,0.25,54.36,0.17,0.44,0.40,,0.03
WK051804,Benoordenhout,518,'s-Gravenhage,Wijk  04 Benoordenhout,2011,0.16,180.6821,0.05,0.46,0.54,0.62,0.01,0.00,0.00,0.01,0.07,0.00,0.29,45.82,0.22,0.52,0.26,0.00,0.02
WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2011,0.07,303.7923,0.06,0.47,0.53,0.59,0.01,0.00,0.01,0.01,0.06,0.01,0.31,43.19,0.19,0.63,0.18,0.01,0.01
WK051806,Van Stolkpark en Scheveningse Bosjes,518,'s-Gravenhage,Wijk  06 Van Stolkpark en Scheveningse Bosjes,2011,0.20,238.3933,0.05,0.46,0.54,0.63,0.01,                 ,                 ,                 ,0.07,                 ,0.28,51.49,0.17,0.50,0.34,0.01,0.03
WK051807,Scheveningen,518,'s-Gravenhage,Wijk  07 Scheveningen,2011,0.10,296.0581,0.07,0.49,0.51,0.72,0.02,0.00,0.01,0.01,0.04,0.01,0.20,43.13,0.17,0.65,0.19,0.02,0.01
WK051808,Duindorp,518,'s-Gravenhage,Wijk  08 Duindorp,2011,0.06,437.5373,0.07,0.51,0.49,0.86,0.01,0.00,0.01,0.01,0.02,0.01,0.09,39.19,0.22,0.65,0.13,0.03,0.01
WK051809,Geuzen- en Statenkwartier,518,'s-Gravenhage,Wijk  09 Geuzen- en Statenkwartier,2011,0.08,193.5902,0.05,0.48,0.52,0.65,0.01,0.01,0.00,0.01,0.05,0.01,0.26,41.64,0.22,0.60,0.18,0.01,0.01
WK051811,Duinoord,518,'s-Gravenhage,Wijk  11 Duinoord,2011,0.06,240.5056,0.05,0.48,0.53,0.62,0.03,0.00,0.01,0.01,0.06,0.01,0.26,38.97,0.19,0.68,0.12,0.01,0.00
